Metric,Algorithm_1,Algorithm_2,Total_Comparisons,Wins_Alg1,Wins_Alg2,Ties,Win_Rate_Alg1_%,Win_Rate_Alg2_%,Tie_Rate_%,Dominant_Algorithm
GD,NSGA2,NSGA3,8,0,8,0,0.0,100.0,0.0,NSGA3
GD,NSGA2,UNSGA3,8,0,8,0,0.0,100.0,0.0,UNSGA3
GD,NSGA2,SMSEMOA,8,0,8,0,0.0,100.0,0.0,SMSEMOA
GD,NSGA2,Hybrids,8,7,1,0,87.5,12.5,0.0,NSGA2
GD,NSGA3,UNSGA3,8,5,3,0,62.5,37.5,0.0,NSGA3
GD,NSGA3,SMSEMOA,8,5,3,0,62.5,37.5,0.0,NSGA3
GD,NSGA3,Hybrids,8,8,0,0,100.0,0.0,0.0,NSGA3
GD,UNSGA3,SMSEMOA,8,3,5,0,37.5,62.5,0.0,SMSEMOA
GD,UNSGA3,Hybrids,8,8,0,0,100.0,0.0,0.0,UNSGA3
GD,SMSEMOA,Hybrids,8,8,0,0,100.0,0.0,0.0,SMSEMOA
IGD,NSGA2,NSGA3,8,5,3,0,62.5,37.5,0.0,NSGA2
IGD,NSGA2,UNSGA3,8,4,4,0,50.0,50.0,0.0,Tie
IGD,NSGA2,SMSEMOA,8,0,8,0,0.0,100.0,0.0,SMSEMOA
IGD,NSGA2,Hybrids,8,2,6,0,25.0,75.0,0.0,Hybrids
IGD,NSGA3,UNSGA3,8,3,5,0,37.5,62.5,0.0,UNSGA3
IGD,NSGA3,SMSEMOA,8,0,8,0,0.0,100.0,0.0,SMSEMOA
IGD,NSGA3,Hybrids,8,1,7,0,12.5,87.5,0.0,Hybrids
IGD,UNSGA3,SMSEMOA,8,1,7,0,12.5,87.5,0.0,SMSEMOA
IGD,UNSGA3,Hybrids,8,3,5,0,37.5,62.5,0.0,Hybrids
IGD,SMSEMOA,Hybrids,8,6,2,0,75.0,25.0,0.0,SMSEMOA
HV,NSGA2,NSGA3,8,4,4,0,50.0,50.0,0.0,Tie
HV,NSGA2,UNSGA3,8,4,4,0,50.0,50.0,0.0,Tie
HV,NSGA2,SMSEMOA,8,8,0,0,100.0,0.0,0.0,NSGA2
HV,NSGA2,Hybrids,8,2,6,0,25.0,75.0,0.0,Hybrids
HV,NSGA3,UNSGA3,8,3,5,0,37.5,62.5,0.0,UNSGA3
HV,NSGA3,SMSEMOA,8,7,1,0,87.5,12.5,0.0,NSGA3
HV,NSGA3,Hybrids,8,1,7,0,12.5,87.5,0.0,Hybrids
HV,UNSGA3,SMSEMOA,8,7,1,0,87.5,12.5,0.0,UNSGA3
HV,UNSGA3,Hybrids,8,0,8,0,0.0,100.0,0.0,Hybrids
HV,SMSEMOA,Hybrids,8,0,8,0,0.0,100.0,0.0,Hybrids
S,NSGA2,NSGA3,8,5,3,0,62.5,37.5,0.0,NSGA2
S,NSGA2,UNSGA3,8,4,4,0,50.0,50.0,0.0,Tie
S,NSGA2,SMSEMOA,8,0,8,0,0.0,100.0,0.0,SMSEMOA
S,NSGA2,Hybrids,8,8,0,0,100.0,0.0,0.0,NSGA2
S,NSGA3,UNSGA3,8,5,3,0,62.5,37.5,0.0,NSGA3
S,NSGA3,SMSEMOA,8,1,7,0,12.5,87.5,0.0,SMSEMOA
S,NSGA3,Hybrids,8,8,0,0,100.0,0.0,0.0,NSGA3
S,UNSGA3,SMSEMOA,8,1,7,0,12.5,87.5,0.0,SMSEMOA
S,UNSGA3,Hybrids,8,8,0,0,100.0,0.0,0.0,UNSGA3
S,SMSEMOA,Hybrids,8,8,0,0,100.0,0.0,0.0,SMSEMOA
STE,NSGA2,NSGA3,8,7,1,0,87.5,12.5,0.0,NSGA2
STE,NSGA2,UNSGA3,8,8,0,0,100.0,0.0,0.0,NSGA2
STE,NSGA2,SMSEMOA,8,2,6,0,25.0,75.0,0.0,SMSEMOA
STE,NSGA2,Hybrids,8,8,0,0,100.0,0.0,0.0,NSGA2
STE,NSGA3,UNSGA3,8,4,4,0,50.0,50.0,0.0,Tie
STE,NSGA3,SMSEMOA,8,1,7,0,12.5,87.5,0.0,SMSEMOA
STE,NSGA3,Hybrids,8,7,1,0,87.5,12.5,0.0,NSGA3
STE,UNSGA3,SMSEMOA,8,0,8,0,0.0,100.0,0.0,SMSEMOA
STE,UNSGA3,Hybrids,8,8,0,0,100.0,0.0,0.0,UNSGA3
STE,SMSEMOA,Hybrids,8,8,0,0,100.0,0.0,0.0,SMSEMOA
